'Major Projects Victoria','2014-01-01','title for 2014-01-01','goods','400000.000','2014-08-29 00:00:00','2014-09-19 00:00:00','Expired','41111808','description for 2014-01-01','Linux Torvalds','linus.torvalds@linux.org.au',211111111,'Supplier 1 Ltd',12345612345,,'1 first adress','sub1','VIC',3138,'someone@1st.supp.com',,,,,,,,,,,
'Major Projects Victoria','MPV 2-2020','title for MPV 2-2020','financial','1400000.000','2011-11-22 00:00:00','2016-11-22 00:00:00','Current','85000000','description for MPV 2-2020','Linux Torvalds','linus.torvalds@linux.org.au',211111111,'Supplier 2 Pty Ltd',12312312345,,'Level 4','Rose Park','SA','5067','contact@somesupplier.com',,,,,,,,,,,
'Major Projects Victoria','MPV 1-3030','title for MPV 1-3030','construction','1400000.000','2011-11-22 00:00:00','2016-11-22 00:00:00','Current','85000000','description for MPV 1-3030','Linux Torvalds','linus.torvalds@linux.org.au',211111111,'Supplier 2 Pty Ltd',12312312345,,'PO BOX 3333','Kent Town DC','SA','5067','contact@somesupplier.com',,,,,,,,,,,
'Major Projects Victoria','MPV RFQ2013-04-04','title for MPV RFQ2013-04-04','construction','1300000.000','2013-05-29 00:00:00','2018-05-28 00:00:00','Current','42000000','description for MPV RFQ2013-04-04','Linux Torvalds','linus.torvalds@linux.org.au',211111111,'Third Supplier pty ltd',12312345678,,'Level 1, 444 Fourth st','Melbourne','VIC','3009','contact@thirdandfourth.com',,,,,,,,,,,
'Major Projects Victoria','MPV RFQ2013-05-05','title for MPV RFQ2013-05-05','construction','500000.000','2014-06-01 00:00:00','2017-05-31 00:00:00','Current','92121504','description for MPV RFQ2013-05-05','Linux Torvalds','linus.torvalds@linux.org.au',211111111,'FourthCourp',12345612345,123123123,'55 Fifth Circuit','Mulgrave','VIC','3170','another@FourthCourp.com.au',,,,,,,,,,,
'Major Projects Victoria','MHW2011-06-06','title for MHW2011-06-06','construction','190000.000','2012-10-01 00:00:00','2013-09-30 00:00:00','Expired','50111510','description for MHW2011-06-06','Linux Torvalds','linus.torvalds@linux.org.au',211111111,,,,,,,,,'First NR Supplies',12311111111,123111111,,'111 Something St','ALBURY','NSW','2640','some.name@bigpond.com',,
'Major Projects Victoria','MWH2017-07-70','title for MWH2017-07-70','construction','140000.000','2012-10-15 00:00:00','2013-10-14 00:00:00','Expired','50100000','description for MWH2017-07-70','Linux Torvalds','linus.torvalds@linux.org.au',211111111,,,,,,,,,'Second CFD PTY LTD',12322222222,123222222,,'2 Second St','WODONGA','VIC','3690','another.name@second.com',,
'Major Projects Victoria','EMI MW12-88','title for EMI MW12-88','construction','5000000.000','2014-07-01 00:00:00','2019-06-30 00:00:00','Current','85000000','description for EMI MW12-88','Linux Torvalds','linus.torvalds@linux.org.au',211111111,'Supplier Oh-Five',12378945678,,'66 Six St','Newcastle','NSW','2300','tenders@oh-5.org.au',,,,,,,,,,,
'Major Projects Victoria','MN009','title for MN009','construction','2000000.000','2013-01-01 00:00:00','2016-09-30 00:00:00','Expired','42000000','description for MN009','Linux Torvalds','linus.torvalds@linux.org.au',211111111,'General Supply Six','NOABN',,'Building 1 666 Swan Street','Burnely','VIC','3121','someone@6.com',,,,,,,,,,,
'Major Projects Victoria','MN1010','title for MN1010','construction','2000000.000','2013-01-01 00:00:00','2016-09-30 00:00:00','Expired','42000000','description for MN1010','Linux Torvalds','linus.torvalds@linux.org.au',211111111,'General Supply Six','NOABN',,'Building 6, Level 6','Burnley','VIC','3121','someone@6.com',,,,,,,,,,,
'Major Projects Victoria','RFQ2011-11-11','title for RFQ2011-11-11','construction','1500000.000','2013-07-01 00:00:00','2015-06-30 00:00:00','Expired','83101800','description for RFQ2011-11-11','Linux Torvalds','linus.torvalds@linux.org.au',211111111,,,,,,,,,'NR3 Pty Limited',12333333333,,,'3 Third St','EAST RICHMOND','VICTORIA','3121','three@not-three.com.au',,
'Infrastructure Victoria','00120','title for 00120','construction','385000.000','2014-04-04 00:00:00','2014-06-30 00:00:00','Expired','72000000','description for 00120','Technical Support','TS@dpc.vic.gov.au',322221234,,,,,,,,,'Fourth Group Pty Ltd',12344444444,,,'44 Fourth Road','Mulgrave','Vic','3170','four@four.net.au',,
'Infrastructure Victoria','00130','title for 00130','construction','120000.000','2014-04-08 00:00:00','2014-08-31 00:00:00','Expired','72000000','description for 00130','Technical Support','TS@dpc.vic.gov.au',322221234,'Trading as Seven',15915612345,,'25 Seventh Street','Mile End South','SA','5031','a7th@seventh.com.au',,,,,,,,,,,
'Infrastructure Victoria','00014','title for 00014','construction','178200.000','2014-06-10 00:00:00','2014-06-30 00:00:00','Expired','81000000','description for 00014','Technical Support','TS@dpc.vic.gov.au',322221234,,,,,,,,,'Fifth Form Pty Ltd',12355555555,,,'PO BOX 10555','Brisbane','Qld','4000','a.name@55.com.au',,
'Infrastructure Victoria','01500','title for 01500','construction','146797.000','2014-07-09 00:00:00','2015-02-05 00:00:00','Expired','39000000','description for 01500','Technical Support','TS@dpc.vic.gov.au',322221234,,,,,,,,,'State Six Pty Ltd',12366666666,,,'6/664-668 Sixth Road','Braeside','VIC','3195','six@six.com.au',,
'Infrastructure Victoria','01616','title for 01616','construction','379731.000','2014-08-18 00:00:00','2014-11-30 00:00:00','Expired','72000000','description for 01616','Technical Support','TS@dpc.vic.gov.au',322221234,,,,,,,,,'Seven7h Pty Ltd',12377777777,,,'79-71 Seveny Street Collingwood','Collingwood','Vic','3066','another@seven.com.au',,
'Infrastructure Victoria','00170','title for 00170','construction','259912.460','2014-12-01 00:00:00','2015-02-09 00:00:00','Expired','72000000','description for 00170','Technical Support','TS@dpc.vic.gov.au',322221234,,,,,,,,,'Ei8ht And Eight Pty Ltd',12388888888,,,'PO Box 2188','Seaford','VIC','3198','person@eight.com.au',,
'Infrastructure Victoria','18-18-APP-LHLH','title for 18-18-APP-LHLH','construction','232415.000','2012-02-22 00:00:00','2012-03-22 00:00:00','Expired','30000000','description for 18-18-APP-LHLH','Technical Support','TS@dpc.vic.gov.au',322221234,,,,,,,,,'Ninety9 Pty Ltd',12399999999,,,'99 Nine Road','Moorabbin','Vic','3189','last@nine.net.au',,
'Infrastructure Victoria','C02020','title for C02020','construction','330000.000','2002-06-01 00:00:00','2004-06-01 00:00:00','Expired','82000000','description for C02020','Technical Support','TS@dpc.vic.gov.au',322221234,,,,,,,,,,,,,,,,,,'Real Legacy Pty Ltd','3120'
'Department of Environment, Land, Water and Planning','CS21-0121','title for CS21-0121','construction','16000000.000','2012-01-01 00:00:00','2015-06-30 00:00:00','Expired','85000000','description for CS21-0121','Richard Stallman','rms@legends.org.au',333333210,'Eightah pty ltd',88888888888,888888888,'Suite 8, Level 8','North Sydney','NSW','2060','matty.eight@eightah.com',,,,,,,,,,,
'Department of Environment, Land, Water and Planning','SOWP2016-022.','title for SOWP2016-022.','construction','9000000.000','2011-09-01 00:00:00','2013-08-31 00:00:00','Expired','85000000','description for SOWP2016-022.','Richard Stallman','rms@legends.org.au',333333210,'Ninety9 Pty Ltd',99999999999,,'90 Nine Street','North Sunshine','VIC','3020','special@Ninety9.com',,,,,,,,,,,
'Department of Environment, Land, Water and Planning','SOWP2016-023.','title for SOWP2016-023.','construction','9000000.000','2011-09-01 00:00:00','2013-08-31 00:00:00','Expired','85000000','description for SOWP2016-023.','Richard Stallman','rms@legends.org.au',333333210,'Ninety9 Pty Ltd',99999999999,,'Unit5/99 Another Road','Alexandria','VIC','2015','special@Ninety9.com',,,,,,,,,,,
'Department of Environment, Land, Water and Planning','SOWP2016-024.','title for SOWP2016-024.','construction','5000000.000','2011-09-01 00:00:00','2013-08-31 00:00:00','Expired','85000000','description for SOWP2016-024.','Richard Stallman','rms@legends.org.au',333333210,'Decimate NSW',10101010101,,'10 Ten Street','Newington','NSW','2127','ten@10.com.au',,,,,,,,,,,
'Department of Environment, Land, Water and Planning','SOWP2016-025.','title for SOWP2016-025.','construction','10000000.000','2011-12-01 00:00:00','2013-11-30 00:00:00','Expired','85000000','description for SOWP2016-025.','Richard Stallman','rms@legends.org.au',333333210,'Final Engineering',11122233345,,'Lvl 1 – 232 Final Road','Hawthorn','VIC','3022','last@final.com.au',,,,,,,,,,,
